# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-a" "/home/bit/project/yeast_stress/data/Saccharomyces_cerevisiae.R64-1-1.59.gtf" "-o" "/home/bit/project/yeast_stress/results/counts/gene_counts.txt" "/home/bit/project/yeast_stress/results/alignment/SRR636633_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636634_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636635_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636636_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636637_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636638_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/bit/project/yeast_stress/results/alignment/SRR636633_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636634_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636635_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636636_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636637_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636638_sorted.bam
YDL246C	IV	8683	9756	-	1074	5	4	1	31	35	23
YDL243C	IV	17577	18566	-	990	285	194	240	29102	18692	14673
YDR387C	IV	1248154	1249821	-	1668	1025	883	965	4181	3007	2444
YDL094C	IV	289572	290081	-	510	99	72	104	96	60	59
YDR438W	IV	1338274	1339386	+	1113	501	402	425	667	539	403
YDR523C	IV	1485566	1487038	-	1473	70	34	48	26	18	12
YDR542W	IV	1523249	1523611	+	363	0	1	0	2	2	0
YDR492W	IV	1434924	1435874	+	951	1580	1751	1741	257	298	314
YDR018C	IV	482670	483860	-	1191	22	21	14	198	120	110
YDL189W	IV	122216	123589	+	1374	1064	807	772	480	830	841
YDR508C	IV	1466453	1468444	-	1992	6501	5560	6175	1948	1525	907
YDR462W	IV	1386073	1386516	+	444	210	191	160	805	389	344
YDR175C	IV	813193	814152	-	960	511	427	436	1158	780	788
YDR186C	IV	832859	835492	-	2634	1305	1636	1421	841	2286	2280
YDR150W	IV	755628	763874	+	8247	2166	1656	1741	1325	1125	1002
YDR243C	IV	948518	950284	-	1767	446	387	349	345	297	293
YDL182W	IV	133437	134723	+	1287	2486	2027	2486	15375	13311	11721
YDR362C	IV	1196679	1198697	-	2019	640	589	515	862	788	696
YDR232W	IV	927452	929098	+	1647	3398	2911	3227	1100	1250	1229
